Name,Type,Description,Visible,Title,Importance,Lens id,Journal,Date,Node size,Link
144-0.23,Old,36-0.23,,"The continuing 2019-nCoV epidemic threat of novel coronaviruses to global health — The latest 2019 novel coronavirus outbreak in Wuhan, China - International Journal of Infectious Diseases",0.23,032-500-896-849-586,International Journal of Infectious Diseases,2020-01-23,2.3,
145-0.23,New,37-0.23,,"Estimating the infection and case fatality ratio for coronavirus disease (COVID-19) using age-adjusted data from the outbreak on the Diamond Princess cruise ship, February 2020",0.23,035-870-337-056-034,Eurosurveillance,2020-03-28,2.3,
146-0.23,New,38-0.23,,Therapeutic opportunities to manage COVID-19/SARS-CoV-2 infection: Present and future,0.23,049-542-157-415-525,Indian Journal of Ophthalmology,2020-03-29,2.3,
147-0.23,Old,39-0.23,,Taking forward a ‘One Health’ approach for turning the tide against the Middle East respiratory syndrome coronavirus and other zoonotic pathogens with epidemic potential,0.23,016-819-513-559-042,International Journal of Infectious Diseases,2018-05-12,2.3,
148-0.23,Old,40-0.23,,The Role of Severe Acute Respiratory Syndrome (SARS)-Coronavirus Accessory Proteins in Virus Pathogenesis,0.23,034-122-131-728-499,Viruses,2018-05-11,2.3,
149-0.22,New,41-0.22,,Frequent Convulsive Seizures in an Adult Patient with COVID-19: A Case Report,0.22,069-448-515-726-978,Iranian Red Crescent Medical Journal,2020-03-29,2.2,
150-0.22,Old,42-0.22,,"Community case clusters of Middle East respiratory syndrome coronavirus in Hafr Al-Batin, Kingdom of Saudi Arabia: a descriptive genomic study.",0.22,011-683-474-227-00X,International Journal of Infectious Diseases,2018-05-12,2.2,
151-0.22,Old,43-0.22,,"Early Transmission Dynamics in Wuhan, China, of Novel Coronavirus–Infected Pneumonia",0.22,001-281-857-268-277,The New England Journal of Medicine,2020-02-06,2.2,
152-0.21,Old,44-0.21,,In silico analysis of ORF1ab in coronavirus HKU1 genome reveals a unique putative cleavage site of coronavirus HKU1 3C-like protease.,0.21,086-197-944-927-287,Microbiology and Immunology,2018-05-12,2.1,
153-0.21,Old,45-0.21,,Clinical and Molecular Epidemiological Features of Coronavirus HKU1–Associated Community-Acquired Pneumonia,0.21,070-225-002-077-981,The Journal of Infectious Diseases,2018-05-12,2.1,
154-0.2,Old,46-0.2,,A family cluster of Middle East Respiratory Syndrome Coronavirus infections related to a likely unrecognized asymptomatic or mild case,0.2,000-377-446-268-635,International Journal of Infectious Diseases,2018-05-12,2.0,
155-0.2,Old,47-0.2,,Coronavirus Main Proteinase (3CLpro) Structure: Basis for Design of anti-SARS Drugs,0.2,031-137-736-769-173,Science,2018-05-12,2.0,
156-0.19,Old,48-0.19,,Current advancements and potential strategies in the development of MERS-CoV vaccines,0.19,047-448-941-251-436,Expert Review of Vaccines,2018-05-12,1.9,
157-0.19,Old,49-0.19,,Mechanisms and enzymes involved in SARS coronavirus genome expression.,0.19,012-664-929-949-758,Journal of General Virology,2018-05-12,1.9,
158-0.18,Old,50-0.18,,Understanding the accessory viral proteins unique to the severe acute respiratory syndrome (SARS) coronavirus,0.18,087-754-719-894-648,Antiviral Research,2018-05-12,1.8,
159-0.17,New,51-0.17,,COVID-19 and smoking: A systematic review of the evidence.,0.17,113-907-636-569-175,Tobacco induced diseases,2020-03-27,1.7,
160-0.17,New,52-0.17,,"Chest X-ray findings in asymptomatic and minimally symptomatic                     quarantined patients in Codogno, Italy",0.17,114-194-945-757-638,Radiology,2020-03-29,1.7,
161-0.16,New,53-0.16,,Clinical Characteristics of Covid-19 in China,0.16,174-158-304-694-997,New England Journal of Medicine,2020-03-29,1.6,
162-0.16,Old,54-0.16,,Complete genome sequence of bat coronavirus HKU2 from Chinese horseshoe bats revealed a much smaller spike gene with a different evolutionary lineage from the rest of the genome.,0.16,088-249-963-555-751,Virology,2018-05-12,1.6,
163-0.16,Old,55-0.16,,Recovery from severe novel coronavirus infection,0.16,019-540-628-564-176,Saudi Medical Journal,2018-05-12,1.6,
164-0.16,Old,56-0.16,,"Contact investigation of a case of human novel coronavirus infection treated in a German hospital, October-November 2012.",0.16,103-923-519-887-788,Eurosurveillance,2018-05-12,1.6,
165-0.14,New,57-0.14,,"Potential short-term outcome of an uncontrolled COVID-19 epidemic in Lombardy, Italy, February to March 2020",0.14,199-898-752-576-960,Eurosurveillance,2020-03-28,1.4,
166-0.14,New,58-0.14,,"Neonatal Early-Onset Infection With SARS-CoV-2 in 33 Neonates Born to Mothers With COVID-19 in Wuhan, China",0.14,029-952-042-336-436,JAMA Pediatrics,2020-03-28,1.4,
167-0.14,New,59-0.14,,Epidemiology of Covid-19,0.14,035-699-637-023-712,New England Journal of Medicine,2020-03-29,1.4,
168-0.14,Old,60-0.14,,"Ecology, evolution and classification of bat coronaviruses in the aftermath of SARS",0.14,013-724-959-787-188,Antiviral Research,2018-05-12,1.4,
169-0.14,Old,61-0.14,,"Epidemiological and clinical characteristics of 99 cases of 2019 novel coronavirus pneumonia in Wuhan, China: a descriptive study",0.14,050-494-230-798-801,The Lancet,2020-02-06,1.4,
170-0.14,Old,62-0.14,,Identification of a Novel Coronavirus in Bats,0.14,037-351-401-792-721,Journal of Virology,2018-05-12,1.4,
171-0.13,New,63-0.13,,COVID-19 outbreak in Algeria: A mathematical Model to predict cumulative cases,0.13,038-585-379-036-046,,2020-03-28,1.3,
172-0.13,New,64-0.13,,Treatment of 5 Critically Ill Patients With COVID-19 With Convalescent Plasma,0.13,182-257-306-271-027,JAMA,2020-03-29,1.3,
173-0.13,Old,65-0.13,,Absence of MERS-CoV antibodies in feral camels in Australia: Implications for the pathogen's origin and spread,0.13,002-274-982-281-009,One Health,2018-05-12,1.3,
174-0.13,Old,66-0.13,,"Middle East respiratory syndrome coronavirus: quantification of the extent of the epidemic, surveillance biases, and transmissibility",0.13,003-797-670-323-555,Lancet Infectious Diseases,2018-05-12,1.3,
175-0.13,Old,67-0.13,,"Epidemiological, demographic, and clinical characteristics of 47 cases of Middle East respiratory syndrome coronavirus disease from Saudi Arabia: a descriptive study",0.13,028-018-589-005-21X,Lancet Infectious Diseases,2018-05-12,1.3,
176-0.12,New,68-0.12,,"Analysis on 54 Mortality Cases of Coronavirus Disease 2019 in the Republic of Korea from January 19 to March 10, 2020",0.12,024-176-041-454-683,Journal of Korean Medical Science,2020-03-28,1.2,
177-0.12,New,69-0.12,,Strategies for the prevention and management of coronavirus disease 2019,0.12,121-054-149-851-622,European Respiratory Journal,2020-03-29,1.2,
178-0.12,New,70-0.12,,Italian doctors call for protecting healthcare workers and boosting community surveillance during covid-19 outbreak,0.12,161-392-196-916-882,BMJ,2020-03-29,1.2,
179-0.12,Old,71-0.12,,Middle East respiratory syndrome (MERS): a new zoonotic viral pneumonia.,0.12,055-310-747-165-727,Virulence,2018-05-12,1.2,
180-0.12,Old,72-0.12,,Mosaic Evolution of the Severe Acute Respiratory Syndrome Coronavirus,0.12,033-821-264-813-837,Journal of Virology,2018-05-12,1.2,
181-0.12,Old,73-0.12,,Characterization of a Novel Coronavirus Associated With Severe Acute Respiratory Syndrome,0.12,004-653-726-716-301,Science,2018-05-12,1.2,
182-0.11,New,74-0.11,,WHO must prioritise the needs of older people in its response to the covid-19 pandemic,0.11,067-162-525-721-517,BMJ,2020-03-27,1.1,
183-0.11,New,75-0.11,,Emergence of a Novel Coronavirus (COVID-19): A Protocol for Extending Surveillance Used by the Royal College of General Practitioners (RCGP) Research and Surveillance Centre (RSC) and Public Health England (PHE)  (Preprint),0.11,037-130-567-714-070,JMIR Public Health and Surveillance,2020-03-28,1.1,
184-0.11,New,76-0.11,,Characterisation of the transcriptome and proteome of SARS-CoV-2 using direct RNA sequencing and tandem mass spectrometry reveals evidence for a cell passage induced in-frame deletion in the spike glycoprotein that removes the furin-like cleavage site,0.11,013-614-433-735-212,,2020-03-29,1.1,
185-0.11,New,77-0.11,,Management of Critically Ill Adults With COVID-19,0.11,150-748-426-093-89X,JAMA,2020-03-29,1.1,
186-0.11,New,78-0.11,,Geriatric Care during Public Health Emergencies: Lessons Learned from Novel Corona Virus Disease (COVID-19) Pandemic,0.11,158-101-102-297-590,Journal of Gerontological Social Work,2020-03-29,1.1,
187-0.11,Old,79-0.11,,Recombinant adeno-associated virus expressing the receptor-binding domain of severe acute respiratory syndrome coronavirus S protein elicits neutralizing antibodies: Implication for developing SARS vaccines,0.11,068-904-310-444-512,Virology,2018-05-12,1.1,
188-0.11,Old,80-0.11,,"Phylogenetic and recombination analysis of coronavirus HKU1, a novel coronavirus from patients with pneumonia",0.11,000-162-542-213-353,Archives of Virology,2018-05-12,1.1,
189-0.11,Old,81-0.11,,Molecular epidemiology of the novel coronavirus that causes severe acute respiratory syndrome,0.11,064-336-202-963-755,The Lancet,2018-05-12,1.1,
190-0.11,Old,82-0.11,,Clinical aspects and outcomes of 70 patients with Middle East respiratory syndrome coronavirus infection: a single-center experience in Saudi Arabia.,0.11,003-861-973-483-349,International Journal of Infectious Diseases,2018-05-12,1.1,
191-0.1,Old,83-0.1,,Molecular biology of severe acute respiratory syndrome coronavirus,0.1,115-731-550-889-684,Current Opinion in Microbiology,2018-05-12,1.0,
192-0.1,Old,84-0.1,,"Novel coronavirus infections in Jordan, April 2012: epidemiological findings from a retrospective investigation.",0.1,067-803-964-836-006,Eastern Mediterranean Health Journal,2018-05-15,1.0,
193-0.1,Old,85-0.1,,"Characterization and Complete Genome Sequence of a Novel Coronavirus, Coronavirus HKU1, from Patients with Pneumonia",0.1,086-963-615-655-137,Journal of Virology,2018-05-12,1.0,
194-0.09,New,86-0.09,,COVID-19 R0: Magic number or conundrum?,0.09,049-284-019-979-390,Infectious disease reports,2020-03-27,0.9,
195-0.09,New,87-0.09,,"Association of Cardiac Injury With Mortality in Hospitalized Patients With COVID-19 in Wuhan, China",0.09,040-330-478-010-922,JAMA Cardiology,2020-03-28,0.9,
196-0.09,New,88-0.09,,A survey of 434 clinical trials about coronavirus disease 2019 in China,0.09,197-125-098-573-257,Journal of Medical Virology,2020-03-29,0.9,
197-0.09,Old,89-0.09,,Viral replication in the nasopharynx is associated with diarrhea in patients with severe acute respiratory syndrome,0.09,117-596-493-408-808,Clinical Infectious Diseases,2018-05-12,0.9,
198-0.09,Old,90-0.09,,Mass Spectrometric Characterization of Proteins from the SARS Virus A Preliminary Report,0.09,072-528-239-689-661,Molecular & Cellular Proteomics,2018-05-12,0.9,
199-0.09,Old,91-0.09,,"Spread, Circulation, and Evolution of the Middle East Respiratory Syndrome Coronavirus",0.09,109-155-880-448-590,Mbio,2018-05-12,0.9,
2-0.09,Old,92-0.09,,Severe acute respiratory syndrome coronavirus phylogeny: toward consensus.,0.09,034-783-351-316-486,Journal of Virology,2018-05-12,0.9,
21-0.09,Old,93-0.09,,Isolation and Characterization of Viruses Related to the SARS Coronavirus from Animals in Southern China,0.09,069-725-146-720-425,Science,2018-05-12,0.9,
22-0.09,Old,94-0.09,,Comparative full-length genome sequence analysis of 14 SARS coronavirus isolates and common mutations associated with putative origins of infection,0.09,026-777-159-941-985,The Lancet,2018-05-12,0.9,
23-0.08,New,95-0.08,,Clinical observation and management of COVID-19 patients,0.08,037-453-395-523-572,Emerging Microbes & Infections,2020-03-28,0.8,
24-0.08,New,96-0.08,,Coronavirus and Environmental Engineering Science,0.08,022-761-136-878-766,Environmental Engineering Science,2020-03-28,0.8,
25-0.08,New,97-0.08,,Coronavirus disease 2019 (COVID-19) outbreak: Could pigs be vectors for human infections?,0.08,164-359-023-966-675,Xenotransplantation,2020-03-29,0.8,
26-0.08,Old,98-0.08,,the emergence of the Middle East Respiratory Syndrome coronavirus,0.08,001-460-168-050-735,Pathogens and Disease,2018-05-12,0.8,
27-0.08,Old,99-0.08,,The digestive system is a potential route of 2019-nCov infection: a bioinformatics analysis based on single-cell transcriptomes,0.08,000-851-047-428-254,bioRxiv,2020-02-07,0.8,
28-0.08,Old,100-0.08,,Inhibition of Proprotein Convertases Abrogates Processing of the Middle Eastern Respiratory Syndrome Coronavirus Spike Protein in Infected Cells but Does Not Reduce Viral Infectivity,0.08,084-968-559-298-461,The Journal of Infectious Diseases,2018-05-12,0.8,
29-0.08,Old,101-0.08,,Comparative Analysis of 22 Coronavirus HKU1 Genomes Reveals a Novel Genotype and Evidence of Natural Recombination in Coronavirus HKU1,0.08,013-000-803-258-286,Journal of Virology,2018-05-12,0.8,
3-0.08,Old,102-0.08,,Screening for Middle East respiratory syndrome coronavirus infection in hospital patients and their healthcare worker and family contacts: a prospective descriptive study,0.08,009-436-099-437-127,Clinical Microbiology and Infection,2018-05-12,0.8,
31-0.08,Old,103-0.08,,First Case of 2019 Novel Coronavirus in the United States,0.08,117-641-457-355-454,The New England Journal of Medicine,2020-02-06,0.8,
32-0.07,New,104-0.07,,Evolutionary Trajectory for the Emergence of Novel Coronavirus SARS-CoV-2,0.07,006-170-782-853-163,Pathogens,2020-03-29,0.7,
33-0.07,New,105-0.07,,Covid-19: what treatments are being investigated?,0.07,050-163-234-742-411,BMJ,2020-03-29,0.7,
34-0.07,New,106-0.07,,Association of Coronavirus Disease 2019 (COVID-19) With Myocardial Injury and Mortality,0.07,108-319-260-474-984,JAMA Cardiology,2020-03-29,0.7,
35-0.07,Old,107-0.07,,Characterization of viral proteins encoded by the SARS-coronavirus genome,0.07,103-028-304-432-726,Antiviral Research,2018-05-12,0.7,
36-0.07,Old,108-0.07,,The severe acute respiratory syndrome coronavirus 3a is a novel structural protein.,0.07,001-275-376-346-421,Biochemical and Biophysical Research Communications,2018-05-12,0.7,
37-0.07,Old,109-0.07,,"Epidemiology and cause of severe acute respiratory syndrome (SARS) in Guangdong, People's Republic of China, in February, 2003",0.07,035-719-660-892-049,The Lancet,2018-05-12,0.7,
38-0.06,Old,110-0.06,,Coronaviral hypothetical and structural proteins were found in the intestinal surface enterocytes and pneumocytes of severe acute respiratory syndrome (SARS),0.06,018-877-233-968-632,Modern Pathology,2018-05-12,0.6,
39-0.06,New,111-0.06,,Clinical Characteristics of Coronavirus Disease 2019 in China,0.06,049-210-365-290-957,The New England Journal of Medicine,2020-03-05,0.6,
4-0.06,New,112-0.06,,Time Course of Lung Changes On Chest CT During Recovery From 2019 Novel Coronavirus (COVID-19) Pneumonia,0.06,117-851-201-366-235,Radiology,2020-02-21,0.6,
41-0.06,Old,113-0.06,,Replication and Shedding of MERS-CoV in Upper Respiratory Tract of Inoculated Dromedary Camels,0.06,016-721-175-170-660,Emerging Infectious Diseases,2018-05-12,0.6,
42-0.06,Old,114-0.06,,Family Cluster of Middle East Respiratory Syndrome Coronavirus Infections,0.06,126-216-458-383-35X,The New England Journal of Medicine,2018-05-12,0.6,
43-0.05,New,115-0.05,,Characteristics of and Important Lessons From the Coronavirus Disease 2019 (COVID-19) Outbreak in China: Summary of a Report of 72 314 Cases From the Chinese Center for Disease Control and Prevention,0.05,041-252-693-988-726,JAMA,2020-02-25,0.5,
44-0.05,New,116-0.05,,Therapeutic options for the treatment of 2019-novel coronavirus: An evidence-based approach.,0.05,123-494-241-257-265,Indian journal of pharmacology,2020-03-27,0.5,
45-0.05,New,117-0.05,,Responding to COVID-19: How to Navigate a Public Health Emergency Legally and Ethically,0.05,112-470-150-380-035,Hastings Center Report,2020-03-29,0.5,
46-0.05,New,118-0.05,,Coronavirus uses as binding site in humans angiotensin-converting enzyme 2 functional receptor that is involved in arterial blood pressure control and fibrotic response to damage and is a drug target in cardiovascular disease. Is this just a phylogenetic,0.05,132-799-722-728-818,Journal of Medical Virology,2020-03-29,0.5,
47-0.05,New,119-0.05,,Mental Health and Psychological Intervention Amid COVID-19 Outbreak: Perspectives from South Korea,0.05,136-892-563-610-979,Yonsei Medical Journal,2020-03-29,0.5,
48-0.05,New,120-0.05,,Travel restrictions violate international law,0.05,090-312-582-710-544,Science,2020-03-29,0.5,
49-0.05,Old,121-0.05,,Severe acute respiratory syndrome coronavirus accessory protein 9b is a virion-associated protein,0.05,089-197-571-997-352,Virology,2018-05-11,0.5,
5-0.05,Old,122-0.05,,The nonstructural protein 8 (nsp8) of the SARS coronavirus interacts with its ORF6 accessory protein,0.05,079-964-139-501-348,Virology,2018-05-12,0.5,
51-0.05,Old,123-0.05,,A putative diacidic motif in the SARS-CoV ORF6 protein influences its subcellular localization and suppression of expression of co-transfected expression constructs,0.05,081-749-213-064-984,BMC Research Notes,2018-05-11,0.5,
52-0.05,Old,124-0.05,,SARS: lessons learned from other coronaviruses.,0.05,031-639-327-965-309,Viral Immunology,2018-05-12,0.5,
53-0.05,Old,125-0.05,,Adenovirus-mediated expression of the C-terminal domain of SARS-CoV spike protein is sufficient to induce apoptosis in Vero E6 cells.,0.05,092-293-801-133-129,FEBS Letters,2018-05-12,0.5,
54-0.05,Old,126-0.05,,Pulmonary pathological features in coronavirus associated severe acute respiratory syndrome (SARS),0.05,014-515-411-569-375,Journal of Clinical Pathology,2018-05-12,0.5,
55-0.05,Old,127-0.05,,Characterization of a Unique Group-Specific Protein (U122) of the Severe Acute Respiratory Syndrome Coronavirus,0.05,012-801-657-103-406,Journal of Virology,2018-05-12,0.5,
56-0.05,Old,128-0.05,,Severe acute respiratory syndrome coronavirus protein 7a interacts with hSGT,0.05,105-476-160-932-984,Biochemical and Biophysical Research Communications,2018-05-12,0.5,
57-0.05,Old,129-0.05,,"Nowcasting and forecasting the potential domestic and international spread of the 2019-nCoV outbreak originating in Wuhan, China: a modelling study",0.05,063-014-267-382-902,The Lancet,2020-02-06,0.5,
58-0.05,Old,130-0.05,,"Engineering a Replication-Competent, Propagation-Defective Middle East Respiratory Syndrome Coronavirus as a Vaccine Candidate",0.05,057-127-923-286-534,Mbio,2018-05-12,0.5,
59-0.05,Old,131-0.05,,SARS-associated coronavirus.,0.05,156-410-219-615-528,The New England Journal of Medicine,2018-05-12,0.5,
6-0.05,Old,132-0.05,,Ribavirin and interferon therapy in patients infected with the Middle East respiratory syndrome coronavirus: an observational study.,0.05,073-663-856-907-01X,International Journal of Infectious Diseases,2018-05-12,0.5,
61-0.05,Old,133-0.05,,Genomic Characterisation and Epidemiology of 2019 Novel Coronavirus: Implications for Virus Origins and Receptor Binding,0.05,024-982-561-486-693,The Lancet,2020-02-06,0.5,
62-0.05,Old,134-0.05,,Importation and Human-to-Human Transmission of a Novel Coronavirus in Vietnam,0.05,013-822-140-463-176,The New England Journal of Medicine,2020-02-06,0.5,
63-0.04,Old,135-0.04,,Epidemiological research priorities for public health control of the ongoing global novel coronavirus (2019-nCoV) outbreak,0.04,020-653-905-150-50X,Eurosurveillance,2020-02-21,0.4,
64-0.04,New,136-0.04,,Establishment and validation of a pseudovirus neutralization assay for SARS-CoV-2,0.04,127-859-870-425-756,Emerging Microbes & Infections,2020-03-27,0.4,
65-0.04,New,137-0.04,,Exercising Heart and Head in Managing Coronavirus Disease 2019 in Wuhan,0.04,180-426-932-736-719,JAMA Network Open,2020-03-27,0.4,
66-0.04,New,138-0.04,,Comorbidity and its impact on 1590 patients with Covid-19 in China: A Nationwide Analysis,0.04,044-277-668-258-449,European Respiratory Journal,2020-03-28,0.4,
67-0.04,New,139-0.04,,"Clinical and CT features of early-stage patients with COVID-19: a retrospective analysis of imported cases in Shanghai, China",0.04,159-486-882-997-438,European Respiratory Journal,2020-03-28,0.4,
68-0.04,New,140-0.04,,Disseminated intravascular coagulation in patients with 2019-nCoV pneumonia,0.04,179-813-259-883-819,Journal of Thrombosis and Haemostasis,2020-03-28,0.4,
69-0.04,New,141-0.04,,An Acute Respiratory Infection Runs Into the Most Common Noncommunicable Epidemic—COVID-19 and Cardiovascular Diseases,0.04,195-048-023-868-414,JAMA Cardiology,2020-03-28,0.4,
691-0.04,New,142-0.04,,Renin-Angiotensin System Blockers and the COVID-19 Pandemic,0.04,008-940-459-243-518,Hypertension,2020-03-28,0.4,
692-0.04,New,143-0.04,,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and coronavirus disease-2019 (COVID-19): The epidemic and the challenges,0.04,116-195-781-737-645,International Journal of Antimicrobial Agents,2020-02-21,0.4,
693-0.04,New,144-0.04,,"Severe acute respiratory syndrome-related coronavirus - The species and its viruses, a statement of the Coronavirus Study Group",0.04,144-781-526-712-421,bioRxiv,2020-02-21,0.4,
694-0.04,Old,145-0.04,,Genomic characterization of the 2019 novel human-pathogenic coronavirus isolated from a patient with atypical pneumonia after visiting Wuhan,0.04,089-914-905-831-950,Emerging microbes & infections,2020-02-06,0.4,
695-0.04,Old,146-0.04,,Clinical characteristics of 2019 novel coronavirus infection in China,0.04,016-332-382-913-413,medRxiv,2020-02-10,0.4,
696-0.04,Old,147-0.04,,"Incubation period of 2019 novel coronavirus (2019-nCoV) infections among travellers from Wuhan, China, 20–28 January 2020",0.04,083-827-415-697-214,Eurosurveillance,2020-02-07,0.4,
697-0.04,Old,148-0.04,,Profiles of Antibody Responses against Severe Acute Respiratory Syndrome Coronavirus Recombinant Proteins and Their Potential Use as Diagnostic Markers,0.04,027-497-672-107-166,Clinical and Vaccine Immunology,2018-05-12,0.4,
698-0.04,Old,149-0.04,,"The nsp9 replicase protein of SARS-coronavirus, structure and functional insights.",0.04,000-037-106-895-586,Structure,2018-05-11,0.4,
699-0.03,New,150-0.03,,Drug targets for corona virus: A systematic review.,0.03,083-782-614-549-701,Indian journal of pharmacology,2020-03-27,0.3,
7-0.03,New,151-0.03,,"SARS-CoV-2, an evolutionary perspective of interaction with human ACE2 reveals undiscovered amino acids necessary for complex stability",0.03,046-670-017-629-959,,2020-03-27,0.3,
71-0.03,New,152-0.03,,"Epidemiology of Covid-19 in a Long-Term Care Facility in King County, Washington",0.03,006-935-830-131-58X,New England Journal of Medicine,2020-03-29,0.3,
