Name,Type,Description,Visible,Title,Date,Journal,Lens_ID,Citations,Importance,Link
"17-0,4558",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/049-862-475-494-671/main"">
Sterile neutrino dark matter in $B-L$ extension of the standard model and galactic 511 keV line</a><br>
Shaaban Khalil, Osamu Seto <br><br>
Sterile right-handed neutrinos can be naturally embedded in a low scale gauged U(1)B?L extension of the standard model. We show that, within a low reheating scenario, such a neutrino is an interesting dark matter candidate. We emphasize that if the neutrino mass is of the order of MeV, then it accounts for the measured dark matter relic density and also accommodates the observed flux of 511?keV ph...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1475-7516/2008/10/024"">10.1088/1475-7516/2008/10/024</a> [<a href=""https://arxiv.org/pdf/0804.0336v2"">PDF</a>]</div>",,Sterile neutrino dark matter in $B-L$ extension of the standard model and galactic 511 keV line,2018-05-11,Journal of Cosmology and Astroparticle Physics,049-862-475-494-671,59,0.4558,
"18-0,4509",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/006-504-088-376-659/main"">
Three-loop model of neutrino mass with dark matter</a><br>
Amine Ahriche, Chian-Shu Chen, Kristian L. McDonald, <i>et al.</i> <br><br>
Laboratoire de Physique Theorique, ES-SENIA University, DZ-31000 Oran, Algeria(Received 27 April 2014; published 22 July 2014)We propose a model in which the origin of neutrino mass is dependent on the existence of dark matter.Neutrinos acquire mass at the three-loop level and the dark matter is the neutral component of a fermiontriplet. We show that experimental constraints are satisfied and that...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.90.015024"">10.1103/physrevd.90.015024</a> [<a href=""https://arxiv.org/abs/1404.2696"">PDF</a>]</div>",,Three-loop model of neutrino mass with dark matter,2018-05-12,Physical Review D,006-504-088-376-659,67,0.4509,
"19-0,4483",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/046-461-192-353-610/main"">
Constraining the window on sterile neutrinos as warm dark matter</a><br>
Steen H. Hansen, P Julien Lesgourgues, Sergio Pastor, <i>et al.</i> <br><br>
Sterile neutrinos may be one of the best warm dark matter candidates we have today. Both lower and upper bounds on the mass of the sterile neutrino come from astronomical observations. We show that the proper inclusion of the neutrino momentum distribution reduces the allowed region to be 2.6 keV < m < 5 keV for the simplest models. A search for a spectral line with E = m/2 is thus more interestin...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1046/j.1365-8711.2002.05410.x"">10.1046/j.1365-8711.2002.05410.x</a> [<a href=""https://arxiv.org/abs/astro-ph/0106108"">PDF</a>]</div>",,Constraining the window on sterile neutrinos as warm dark matter,2018-05-12,Monthly Notices of the Royal Astronomical Society,046-461-192-353-610,118,0.4483,
"20-0,443",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/057-468-544-070-210/main"">
keV sterile neutrino dark matter in gauge extensions of the standard model</a><br>
Fedor Bezrukov, Hans Hettmansperger, Manfred Lindner <br><br>
It is known, that a keV scale sterile neutrino is a good warm dark matter candidate. We study how this possibility could be realized in the context of gauge extensions of the standard model. The naieve expectation leads to large thermal overproduction of sterile neutrinos in this setup. However, we find that it is possible to use out-of-equilibrium decay of the other right-handed neutrinos of the ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.81.085032"">10.1103/physrevd.81.085032</a> [<a href=""https://arxiv.org/pdf/0912.4415v2"">PDF</a>]</div>",,keV sterile neutrino dark matter in gauge extensions of the standard model,2018-05-12,Physical Review D,057-468-544-070-210,171,0.443,
"21-0,4369",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/000-090-787-660-274/main"">
Sterile neutrinos as subdominant warm dark matter</a><br>
Antonio Palazzo, Daniel T. Cumberbatch, Anze Slosar, <i>et al.</i> <br><br>
In light of recent findings which seem to disfavor a scenario with (warm) dark matter entirely constituted of sterile neutrinos produced via the Dodelson-Widrow mechanism, we investigate the constraints attainable for this mechanism by relaxing the usual hypothesis that the relic neutrino abundance must necessarily account for all of the dark matter. We first study how to reinterpret the limits at...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.76.103511"">10.1103/physrevd.76.103511</a> [<a href=""https://www.arxiv-vanity.com/papers/0707.1495/"">PDF</a>]</div>",,Sterile neutrinos as subdominant warm dark matter,2018-05-12,Physical Review D,000-090-787-660-274,68,0.4369,
"22-0,43",New,"<div><a href=""https://www.lens.org/lens/scholar/article/098-971-528-908-859/main"">
Consequences of neutrino self interactions for weak decoupling and big bang nucleosynthesis.</a><br>
Evan Grohs, George M. Fuller, Manibrata Sen <br><br>
We calculate and discuss the implications of neutrino self-interactions for the physics of weak decoupling and big bang nucleosynthesis (BBN) in the early universe. In such neutrino-sector extensions of the standard model, neutrinos may not free-stream, yet can stay thermally coupled to one another. Nevertheless, the neutrinos exchange energy and entropy with the photon, electron-positron, and bar...
<br><br>
[<a href=""https://arxiv.org/pdf/2002.08557"">PDF</a>]</div>",,Consequences of neutrino self interactions for weak decoupling and big bang nucleosynthesis.,2020-03-23,arXiv: Cosmology and Nongalactic Astrophysics,098-971-528-908-859,0,0.43,
"23-0,418",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/104-315-709-723-095/main"">
Soft L_e-L_mu-L_tau flavour symmetry breaking and sterile neutrino keV Dark Matter</a><br>
Manfred Lindner, Alexander Merle, Viviana Niro <br><br>
We discuss how a $L_e-L_\mu-L_\tau$ flavour symmetry that is softly broken leads to keV sterile neutrinos, which are a prime candidate for Warm Dark Matter. This is to our knowledge the first model where flavour symmetries are applied simultaneously to active and sterile neutrinos explaining at the same time active neutrino properties and this peculiar Dark Matter scenario. The essential point is ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1475-7516/2011/01/034"">10.1088/1475-7516/2011/01/034</a> [<a href=""https://arxiv.org/abs/1011.4950"">PDF</a>]</div>",,Soft L_e-L_mu-L_tau flavour symmetry breaking and sterile neutrino keV Dark Matter,2018-05-11,arXiv: High Energy Physics - Phenomenology,104-315-709-723-095,59,0.418,
"24-0,4178",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/163-236-993-323-21X/main"">
A model of radiative neutrino mass: with or without dark matter</a><br>
Amine Ahriche, Kristian L. McDonald, Salah Nasri <br><br>
We present a three-loop model of neutrino mass whose most-general Lagrangian possesses a softly-broken accidental Z
 2 symmetry. In the limit that a single parameter vanishes, λ →0, the Z
 2 symmetry becomes exact and the model contains a stable dark-matter candidate. However, even for finite λ ≪1, long-lived dark matter is possible, giving a unified solution to the neutrino mass and dark matter p...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1007/jhep10(2014)167"">10.1007/jhep10(2014)167</a> [<a href=""https://arxiv.org/pdf/1404.5917v2"">PDF</a>]</div>",,A model of radiative neutrino mass: with or without dark matter,2018-05-12,Journal of High Energy Physics,163-236-993-323-21X,53,0.4178,
"25-0,4084",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/165-115-977-421-129/main"">
Magnetic dipole moment and keV neutrino dark matter</a><br>
Chao-Qiang Geng, Ryo Takahashi <br><br>
Abstract We study magnetic dipole moments of right-handed neutrinos in a keV neutrino dark matter model. This model is a simple extension of the standard model with only right-handed neutrinos and a pair of charged particles added. One of the right-handed neutrinos is the candidate of dark matter with a keV mass. Some bounds on the dark matter magnetic dipole moment and model parameters are obtain...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1016/j.physletb.2012.02.080"">10.1016/j.physletb.2012.02.080</a> [<a href=""https://arxiv.org/pdf/1201.1534"">PDF</a>]</div>",,Magnetic dipole moment and keV neutrino dark matter,2018-05-12,Physics Letters B,165-115-977-421-129,8,0.4084,
"26-0,3962",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/003-485-139-902-189/main"">
A Class of Inert N-tuplet Models with Radiative Neutrino Mass and Dark Matter</a><br>
Sandy S. C. Law, Kristian L. McDonald <br><br>
We present a class of models with radiative neutrino mass and stable dark- matter candidates. Neutrino mass is generated by a one-loop diagram with the same topography as Ma's 2006 proposal (which used an inert scalar-doublet and singlet fermion). We generalize this approach and determine all variants with new fields no larger than the adjoint representation. When the neutrino mass diagram contain...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1007/jhep09(2013)092"">10.1007/jhep09(2013)092</a> [<a href=""https://arxiv.org/pdf/1305.6467"">PDF</a>]</div>",,A Class of Inert N-tuplet Models with Radiative Neutrino Mass and Dark Matter,2018-05-12,Journal of High Energy Physics,003-485-139-902-189,75,0.3962,
"27-0,39",New,"<div><a href=""https://www.lens.org/lens/scholar/article/181-509-557-809-583/main"">
Revisiting neutrino and sneutrino dark matter in natural SUSY scenarios</a><br>
T. Faber, Y. Liu, W. Porod, <i>et al.</i> <br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.101.055029"">10.1103/physrevd.101.055029</a> ",,Revisiting neutrino and sneutrino dark matter in natural SUSY scenarios,2020-03-27,Physical Review D,181-509-557-809-583,0,0.39,
"28-0,39",New,"<div><a href=""https://www.lens.org/lens/scholar/article/048-650-358-851-085/main"">
Scotogenic dark matter and single-zero textures of the neutrino mass matrix</a><br>
Teruyuki Kitabayashi <br><br>
DOI: <a href=""http://dx.doi.org/10.1088/1742-6596/1468/1/012026"">10.1088/1742-6596/1468/1/012026</a> ",,Scotogenic dark matter and single-zero textures of the neutrino mass matrix,2020-03-23,Journal of Physics: Conference Series,048-650-358-851-085,0,0.39,
"29-0,3892",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/125-897-728-375-262/main"">
Constraints on sterile neutrinos as dark matter candidates from the diffuse X-ray background</a><br>
Alexey Boyarsky, A. Neronov, Oleg Ruchayskiy, <i>et al.</i> <br><br>
Sterile neutrinos with masses in the keV range are viable candidates for the warm dark matter. We analyze existing data for the extragalactic diffuse X-ray background for signatures of sterile neutrino decay. The absence of detectable signal within current uncertainties of background measurements puts model-independent constraints on allowed values of sterile neutrino mass and mixing angle, which ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1111/j.1365-2966.2006.10458.x"">10.1111/j.1365-2966.2006.10458.x</a> [<a href=""https://arxiv.org/abs/astro-ph/0512509"">PDF</a>]</div>",,Constraints on sterile neutrinos as dark matter candidates from the diffuse X-ray background,2018-05-12,Monthly Notices of the Royal Astronomical Society,125-897-728-375-262,171,0.3892,
"30-0,389",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/084-574-074-038-045/main"">
Strong upper limits on sterile neutrino warm dark matter.</a><br>
Hasan Yüksel, John F. Beacom, Casey Watson <br><br>
Sterile neutrinos are attractive dark matter candidates. Their parameter space of mass and mixing angle has not yet been fully tested despite intensive efforts that exploit their gravitational clustering properties and radiative decays. We use the limits on gamma-ray line emission from the Galactic center region obtained with the SPI spectrometer on the INTEGRAL satellite to set new constraints, w...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevlett.101.121301"">10.1103/physrevlett.101.121301</a> [<a href=""https://arxiv.org/abs/0706.4084"">PDF</a>]</div>",,Strong upper limits on sterile neutrino warm dark matter.,2018-05-12,Physical Review Letters,084-574-074-038-045,72,0.389,
"31-0,3878",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/111-418-783-775-77X/main"">
Impact of semi-annihilation of ℤ3symmetric dark matter with radiative neutrino masses.</a><br>
Mayumi Aoki, Takashi Toma <br><br>
We investigate a 3 symmetric model with two-loop radiative neutrino masses. Dark matter in the model is either a Dirac fermion or a complex scalar as a result of an unbroken 3 symmetry. In addition to standard annihilation processes, semi-annihilation of the dark matter contributes to the relic density. We study the effect of the semi-annihilation in the model and find that those contributions are...
<br><br>
[<a href=""https://arxiv.org/abs/1405.5870"">PDF</a>]</div>",,Impact of semi-annihilation of ℤ3symmetric dark matter with radiative neutrino masses.,2018-05-15,Journal of Cosmology and Astroparticle Physics,111-418-783-775-77X,39,0.3878,
"32-0,3802",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/076-634-923-109-306/main"">
Deriving models for keV sterile neutrino Dark Matter with the Froggatt-Nielsen mechanism</a><br>
Alexander Merle, Viviana Niro <br><br>
Sterile neutrinos with a mass around the keV scale are an attractive particle physics candidate for Warm Dark Matter. Although many frameworks have been presented in which these neutrinos can fulfill all phenomenological constraints, there are hardly any models known that can explain such a peculiar mass pattern, one sterile neutrino at the keV scale and the other two considerably heavier, while a...
<br><br>
[<a href=""https://arxiv.org/pdf/1105.5136"">PDF</a>]</div>",,Deriving models for keV sterile neutrino Dark Matter with the Froggatt-Nielsen mechanism,2018-05-15,Journal of Cosmology and Astroparticle Physics,076-634-923-109-306,40,0.3802,
"33-0,3496",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/123-121-841-396-750/main"">
A model of neutrino mass and dark matter with an accidental symmetry</a><br>
Amine Ahriche, Kristian L. McDonald, Salah Nasri, <i>et al.</i> <br><br>
Abstract We present a model of radiative neutrino mass that automatically contains an accidental Z 2 symmetry and thus provides a stable dark matter candidate. This allows a common framework for the origin of neutrino mass and dark matter without invoking any symmetries beyond those of the Standard Model. The model can be probed by direct-detection experiments and μ → e + γ searches, and predicts ...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1016/j.physletb.2015.05.031"">10.1016/j.physletb.2015.05.031</a> ",,A model of neutrino mass and dark matter with an accidental symmetry,2018-05-12,Physics Letters B,123-121-841-396-750,49,0.3496,
"34-0,3306",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/009-699-922-256-264/main"">
Massive sterile neutrinos as warm dark matter</a><br>
A.D. Dolgov, S.H. Hansen <br><br>
Abstract We show that massive sterile neutrinos mixed with the ordinary ones may be produced in the early universe in the right amount to be natural warm dark matter particles. Their mass should be below 40 keV and the corresponding mixing angles sin22θ>10−11 for mixing with νμ or ντ, while mixing with νe is slightly stronger bounded with mass less than 30 keV.
<br><br>
DOI: <a href=""http://dx.doi.org/10.1016/s0927-6505(01)00115-3"">10.1016/s0927-6505(01)00115-3</a> [<a href=""http://www.arxiv-vanity.com/papers/hep-ph/0009083/"">PDF</a>]</div>",,Massive sterile neutrinos as warm dark matter,2018-05-12,Astroparticle Physics,009-699-922-256-264,323,0.3306,
"35-0,3295",Old,"<div><a href=""https://www.lens.org/lens/scholar/article/001-542-265-018-883/main"">
Direct x-ray constraints on sterile neutrino warm dark matter</a><br>
Casey Watson, John F. Beacom, Hasan Yüksel, <i>et al.</i> <br><br>
Warm dark matter (WDM) might more easily account for small scale clustering measurements than the heavier particles typically invoked incold dark matter (�CDM) cosmologies. In this paper, we consider aWDM cosmology in which sterile neutrinoss, with a mass ms of roughly 1-100 keV, are the dark matter. We use the diffuse X-ray spectrum (total minus resolved point source emission) of the Andromeda ga...
<br><br>
DOI: <a href=""http://dx.doi.org/10.1103/physrevd.74.033009"">10.1103/physrevd.74.033009</a> [<a href=""https://arxiv.org/pdf/astro-ph/0605424"">PDF</a>]</div>",,Direct x-ray constraints on sterile neutrino warm dark matter,2018-05-12,Physical Review D,001-542-265-018-883,139,0.3295,
